0.000000,1.600000,-1.700000,-1.500000,1.300000
0.000000,0.750000,0.000000,1.600000,-1.800000
0.001864,0.001864,0.001864,0.001864,0.001864
0.001864,0.001864,0.001864,0.001864,0.001864
0.001864,0.001864,0.001864,0.001864,0.001864
0.001864,0.001864,0.001864,0.001864,0.001864
0.001864,0.001864,0.001864,0.001864,0.001864
0.001864,0.002610,0.001864,0.002610,0.001864
0.002610,0.001864,0.001864,0.001864,0.002610
0.001864,0.001864,0.001864,0.002610,0.002610
0.002610,0.001864,0.002610,0.001864,0.001864
0.001864,0.002610,0.002610,0.001864,0.001864
0.001864,0.003007,0.001864,0.003100,0.001864
0.003007,0.001864,0.001864,0.001864,0.003051
0.001864,0.001864,0.001864,0.003051,0.003100
0.003100,0.001864,0.003051,0.001864,0.001864
0.001864,0.003051,0.003100,0.001864,0.001864
0.001864,0.003217,0.001864,0.003421,0.001864
0.003217,0.001864,0.001864,0.001864,0.003311
0.001864,0.001864,0.001864,0.003241,0.003421
0.003421,0.001864,0.003241,0.001864,0.001864
0.001864,0.003311,0.003421,0.001864,0.001864
