0.000000,1.600000,-1.700000,-1.500000,1.300000
0.000000,0.750000,0.000000,1.600000,-1.800000
0.001829,0.001829,0.001829,0.001829,0.001829
0.001829,0.001829,0.001829,0.001829,0.001829
0.001829,0.001829,0.001829,0.001829,0.001829
0.001829,0.001829,0.001829,0.001829,0.001829
0.001829,0.001829,0.001829,0.001829,0.001829
0.001829,0.002561,0.001829,0.002561,0.001829
0.002561,0.001829,0.001829,0.001829,0.002561
0.001829,0.001829,0.001829,0.002561,0.002561
0.002561,0.001829,0.002561,0.001829,0.001829
0.001829,0.002561,0.002561,0.001829,0.001829
0.001829,0.002950,0.001829,0.002993,0.001829
0.002950,0.001829,0.001829,0.001829,0.002950
0.001829,0.001829,0.001829,0.002950,0.002993
0.002993,0.001829,0.002950,0.001829,0.001829
0.001829,0.002950,0.002993,0.001829,0.001829
0.001829,0.003157,0.001829,0.003249,0.001829
0.003157,0.001829,0.001829,0.001829,0.003223
0.001829,0.001829,0.001829,0.003157,0.003180
0.003249,0.001829,0.003157,0.001829,0.001829
0.001829,0.003223,0.003180,0.001829,0.001829
