0.000000,1.600000,-1.700000,-1.500000,1.300000
0.000000,0.750000,0.000000,1.600000,-1.800000
0.001937,0.001937,0.001937,0.001937,0.001937
0.001937,0.001937,0.001937,0.001937,0.001937
0.001937,0.001937,0.001937,0.001937,0.001937
0.001937,0.001937,0.001937,0.001937,0.001937
0.001937,0.001937,0.001937,0.001937,0.001937
0.001937,0.002690,0.001937,0.002690,0.001937
0.002690,0.001937,0.001937,0.001937,0.002690
0.001937,0.001937,0.001937,0.002690,0.002690
0.002690,0.001937,0.002690,0.001937,0.001937
0.001937,0.002690,0.002690,0.001937,0.001937
0.001937,0.003090,0.001937,0.003134,0.001937
0.003090,0.001937,0.001937,0.001937,0.003090
0.001937,0.001937,0.001937,0.003090,0.003134
0.003134,0.001937,0.003090,0.001937,0.001937
0.001937,0.003090,0.003134,0.001937,0.001937
0.001937,0.002693,0.002711,0.002810,0.002711
0.002693,0.001937,0.001937,0.002711,0.003324
0.002711,0.001937,0.001937,0.003324,0.002810
0.002810,0.002711,0.003324,0.001937,0.001937
0.002711,0.003324,0.002810,0.001937,0.001937
0.001937,0.002488,0.003169,0.002723,0.003276
0.002488,0.001937,0.001937,0.003339,0.003449
0.003169,0.001937,0.001937,0.003449,0.002810
0.002723,0.003339,0.003449,0.001937,0.001937
0.003276,0.003449,0.002810,0.001937,0.001937
0.001937,0.002383,0.003366,0.002723,0.003590
0.002383,0.001937,0.001937,0.003631,0.003515
0.003366,0.001937,0.001937,0.003515,0.002810
0.002723,0.003631,0.003515,0.001937,0.001937
0.003590,0.003515,0.002810,0.001937,0.001937
0.001937,0.002383,0.003649,0.002573,0.003590
0.002383,0.001937,0.001937,0.003823,0.003550
0.003649,0.001937,0.001937,0.003550,0.002810
0.002573,0.003823,0.003550,0.001937,0.001937
0.003590,0.003550,0.002810,0.001937,0.001937
